,City,Country,Long,Lat,date,type,value
327," Norfolk County, MA",US,-71.1449,42.1767,2020-03-01,currently ill,0
328," Norfolk County, MA",US,-71.1449,42.1767,2020-03-02,confirmed,0
329," Norfolk County, MA",US,-71.1449,42.1767,2020-03-02,died,0
330," Norfolk County, MA",US,-71.1449,42.1767,2020-03-02,recovered,0
331," Norfolk County, MA",US,-71.1449,42.1767,2020-03-02,currently ill,0
332," Norfolk County, MA",US,-71.1449,42.1767,2020-03-03,confirmed,1
333," Norfolk County, MA",US,-71.1449,42.1767,2020-03-03,died,0
334," Norfolk County, MA",US,-71.1449,42.1767,2020-03-03,recovered,0
335," Norfolk County, MA",US,-71.1449,42.1767,2020-03-03,currently ill,1
336,Anhui,Mainland China,117.2264,31.8257,2020-01-22,confirmed,1
337,Anhui,Mainland China,117.2264,31.8257,2020-01-22,died,0
338,Anhui,Mainland China,117.2264,31.8257,2020-01-22,recovered,0
339,Anhui,Mainland China,117.2264,31.8257,2020-01-22,currently ill,1
340,Anhui,Mainland China,117.2264,31.8257,2020-01-23,confirmed,9
341,Anhui,Mainland China,117.2264,31.8257,2020-01-23,died,0
342,Anhui,Mainland China,117.2264,31.8257,2020-01-23,recovered,0
343,Anhui,Mainland China,117.2264,31.8257,2020-01-23,currently ill,9
344,Anhui,Mainland China,117.2264,31.8257,2020-01-24,confirmed,15
345,Anhui,Mainland China,117.2264,31.8257,2020-01-24,died,0
346,Anhui,Mainland China,117.2264,31.8257,2020-01-24,recovered,0
347,Anhui,Mainland China,117.2264,31.8257,2020-01-24,currently ill,15
348,Anhui,Mainland China,117.2264,31.8257,2020-01-25,confirmed,39
349,Anhui,Mainland China,117.2264,31.8257,2020-01-25,died,0
350,Anhui,Mainland China,117.2264,31.8257,2020-01-25,recovered,0
351,Anhui,Mainland China,117.2264,31.8257,2020-01-25,currently ill,39
352,Anhui,Mainland China,117.2264,31.8257,2020-01-26,confirmed,60
353,Anhui,Mainland China,117.2264,31.8257,2020-01-26,died,0
354,Anhui,Mainland China,117.2264,31.8257,2020-01-26,recovered,0
355,Anhui,Mainland China,117.2264,31.8257,2020-01-26,currently ill,60
356,Anhui,Mainland China,117.2264,31.8257,2020-01-27,confirmed,70
357,Anhui,Mainland China,117.2264,31.8257,2020-01-27,died,0
358,Anhui,Mainland China,117.2264,31.8257,2020-01-27,recovered,0
359,Anhui,Mainland China,117.2264,31.8257,2020-01-27,currently ill,70
360,Anhui,Mainland China,117.2264,31.8257,2020-01-28,confirmed,106
361,Anhui,Mainland China,117.2264,31.8257,2020-01-28,died,0
362,Anhui,Mainland China,117.2264,31.8257,2020-01-28,recovered,0
363,Anhui,Mainland China,117.2264,31.8257,2020-01-28,currently ill,106
